time,seconds_elapsed,bpm,rolling_mean
2024-12-11 14:57:54.013237000,7789.438237060547,70.0,82.41
2024-12-11 14:57:55.013236700,7790.438236816406,73.0,82.55
2024-12-11 14:58:00.013237000,7795.438237060547,69.0,82.67
2024-12-11 14:58:05.013237000,7800.438237060547,74.0,82.78
2024-12-11 14:58:12.013237000,7807.438237060547,81.0,82.85
2024-12-11 14:58:15.013237000,7810.438237060547,79.0,82.93
2024-12-11 14:58:20.013237000,7815.438237060547,86.0,83.05
2024-12-11 14:58:26.013237000,7821.438237060547,84.0,83.2
2024-12-11 14:58:30.013237000,7825.438237060547,83.0,83.35
2024-12-11 14:58:35.013237000,7830.438237060547,92.0,83.49
2024-12-11 14:58:43.013237000,7838.438237060547,93.0,83.65
2024-12-11 14:58:45.013237000,7840.438237060547,92.0,83.83
2024-12-11 14:58:51.013237000,7846.438237060547,90.0,84.03
2024-12-11 14:58:59.763236900,7855.188236816406,92.0,84.22
2024-12-11 14:59:00.763236900,7856.188236816406,92.0,84.43
2024-12-11 14:59:05.763236900,7861.188236816406,95.0,84.67
2024-12-11 14:59:11.763236900,7867.188236816406,96.0,84.93
2024-12-11 14:59:19.763236900,7875.188236816406,97.0,85.21
2024-12-11 14:59:21.763236900,7877.188236816406,94.0,85.44
2024-12-11 14:59:34.763236900,7890.188236816406,98.0,85.69
2024-12-11 14:59:37.763236900,7893.188236816406,91.0,85.91
2024-12-11 14:59:41.763236900,7897.188236816406,95.0,86.13
2024-12-11 14:59:48.763236900,7904.188236816406,91.0,86.34
2024-12-11 14:59:53.763236900,7909.188236816406,95.0,86.56
2024-12-11 14:59:58.763236900,7914.188236816406,93.0,86.75
2024-12-11 15:00:01.763236900,7917.188236816406,100.0,86.9
2024-12-11 15:00:05.763236900,7921.188236816406,94.0,87.03
2024-12-11 15:00:13.763236900,7929.188236816406,97.0,87.15
2024-12-11 15:00:19.763236900,7935.188236816406,101.0,87.28
2024-12-11 15:00:22.763236900,7938.188236816406,99.0,87.4
2024-12-11 15:00:28.763236900,7944.188236816406,98.0,87.49
2024-12-11 15:00:31.763236900,7947.188236816406,95.0,87.53
2024-12-11 15:00:37.763236900,7953.188236816406,93.0,87.55
2024-12-11 15:00:40.763236900,7956.188236816406,95.0,87.57
2024-12-11 15:01:09.763236900,7985.188236816406,101.0,87.57
2024-12-11 15:01:10.763236900,7986.188236816406,96.0,87.56
2024-12-11 15:01:29.763236900,8005.188236816406,92.0,87.55
2024-12-11 15:01:33.763236900,8009.188236816406,97.0,87.5
2024-12-11 15:01:35.763236900,8011.188236816406,94.0,87.44
2024-12-11 15:01:44.763236900,8020.188236816406,89.0,87.34
2024-12-11 15:01:49.763236900,8025.188236816406,77.0,87.23
2024-12-11 15:01:54.763236900,8030.188236816406,79.0,87.09
2024-12-11 15:01:59.763236900,8035.188236816406,79.0,86.91
2024-12-11 15:02:00.763236900,8036.188236816406,71.0,86.73
2024-12-11 15:02:05.763236900,8041.188236816406,73.0,86.6
2024-12-11 15:02:11.763236900,8047.188236816406,70.0,86.52
2024-12-11 15:02:15.763236900,8051.188236816406,73.0,86.45
2024-12-11 15:02:20.763236900,8056.188236816406,68.0,86.4
2024-12-11 15:02:25.763236900,8061.188236816406,68.0,86.37
2024-12-11 15:02:30.763236900,8066.188236816406,73.0,86.38
2024-12-11 15:02:35.763236900,8071.188236816406,72.0,86.36
2024-12-11 15:02:44.763236900,8080.188236816406,73.0,86.33
