,time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed,heartbeat,sound,motion
547,1742830257999801900,547.6268017578125,50.04450841899961,1.2807616350923394,38.22311215468698,51.50880408519915,5.330221614800394,283.62627860148297,4.749201713146241,3.357025487040223,0.002776351,1.160392635211091,102.0,-73.05170120701229,1.26796764868951
548,1742830258999817500,548.6268173828125,49.70251220930368,1.103431134387178,36.41089467397941,51.50880450664643,4.988225405104458,279.6308893168531,4.749241358335343,3.356969400078872,0.002761539,1.0544207504928986,102.0,-69.21066481186148,0.14803161955746003
549,1742830259999830800,549.6268308105468,49.9032046860084,0.9879026015949364,26.83607657553262,51.50881066266926,5.188917881809175,284.7195440005455,4.744995332607978,3.362968380213729,0.002738513,1.2643715345556994,102.0,-72.4479760698574,0.810118695807345
550,1742830260999848400,550.6268483886719,49.95427989494056,0.9422875728259548,24.56318121483438,51.50881412,5.239993090741336,289.4887323435535,4.745834022681326,3.361784713801469,0.002717861,1.388750904060354,102.0,-72.22659557902344,0.5274559458601981
551,1742830261999859000,551.6268588867188,50.22645622305572,0.9733274001627116,21.77966383322202,51.508814594283855,5.512169418856502,281.71581647564017,4.747731595152007,3.359104305195691,0.002692609,1.5882015347106826,102.0,-70.937537316569,0.0
552,1742830262999874000,552.6268740234375,50.588120359927416,0.9539644898125852,30.876685976075382,51.50881862,5.873833555728197,289.41793823439366,4.747310104829678,3.3596999570454007,0.002683138,1.1309950842632766,102.0,-70.16639529158682,0.4462342618200676
553,1742830263999884800,553.6268848,50.63743770029396,0.9532152817219164,26.54562636891066,51.508826316654485,5.923150896094739,294.84076253379567,4.746355108,3.3610489757720696,0.002660758,1.360831789397258,102.0,-70.47849820846737,5.531671788013649
554,1742830264999897600,554.6268977050781,50.41921677906066,0.9488518525004744,24.98736448,51.5088292455436,5.704929974861443,291.51397094713496,4.745921488564264,3.3616612347428467,0.002640491,1.4199026837294086,102.0,-71.56256275400015,1.4421561901334492
555,1742830265999910000,555.6269099121093,50.35397892538458,0.9504224589848465,28.47892948370073,51.508826471596734,5.639692121185362,277.7329285449753,4.746039619775382,3.361494453410742,0.002626681,1.1186359899909009,106.0,-68.30438596360426,1.1986639102029895
556,1742830266999921000,556.6269208984374,50.52512103598565,0.9672472233839648,25.81202377973,51.508832923727375,5.810834232,285.12443367794816,4.747489954,3.3594458125135205,0.00260417,1.3195335225130744,106.0,-72.98558188259139,0.4801429410889529
557,1742830267999934000,557.6269338378906,50.53925461,0.948887884,23.52149576598732,51.50884056127084,5.824967805296183,290.5681506350546,4.747937659196934,3.358813036947484,0.002580449,1.5184053159858908,106.0,-74.65298053082874,0.417267097586375
558,1742830268999945700,558.6269458007813,50.27853206079453,0.9439120751538128,25.164943325635445,51.50884633012755,5.5642452565953135,293.8200502447648,4.747418262800285,3.3595471228752185,0.002561483,1.4687971101386912,106.0,-73.09452618465647,0.36712081295038657
559,1742830269999957200,559.6269572753906,50.17888749204576,0.9703752988899458,24.680971203112374,51.50884615512442,5.464600687846541,280.1516858368041,4.748353079426757,3.3582257318243607,0.002541053,1.3868082861571016,106.0,-68.10385686673678,0.0
560,1742830270999967500,560.6269675292968,50.31722290720791,0.956091509,24.71160431518389,51.50885151171981,5.602936103008688,285.19056046849806,4.748610455712391,3.3578617858226085,0.002521621,1.3986169701927158,106.0,-67.24814196152344,1.968486588090379
561,1742830271999979500,561.6269794921875,50.44864224642515,1.09772347041326,24.836023270913863,51.508857066096425,5.734355442225933,286.3207659186718,4.749040836008112,3.3572530692094404,0.002496784,1.5975048814558124,106.0,-69.21597353194133,1.6690662422506777
562,1742830272999990300,562.6269902,50.48963106330484,1.2669812324412355,27.65999357239215,51.50885749995586,5.775344259105623,280.30113520799785,4.747647579645808,3.359223048901657,0.00247396,1.5973562377248072,106.0,-68.90112431402343,3.184673556253817
563,1742830274000001500,563.6270014648437,50.27441369090229,1.2795552486174884,34.27188164865089,51.50885532798817,5.560126886703074,272.1118999135109,4.750793074370869,3.354773047062739,0.002460856,1.2562590048393716,106.0,-70.09942829150391,3.8692426793691905
564,1742830275000011800,564.6270117,50.287333878688514,1.2766362862099077,31.00669808,51.508859900549126,5.573047074489296,279.2442096011484,4.751098394298117,3.354340632745381,0.002438443,1.3895108688678026,106.0,-76.3561676944987,0.8726769944079945
